iter	RMSE
0	14.01981325
1	13.59432163
2	13.18379558
3	12.8363124
4	12.44017231
5	12.12177468
6	11.7896337
7	11.48515832
8	11.19252977
9	10.87716518
10	10.57242063
11	10.31753415
12	10.0738848
13	9.796587654
14	9.525808183
15	9.250954912
16	9.012495161
17	8.827728343
18	8.628504716
19	8.406737905
20	8.200788524
21	8.001080012
22	7.804825479
23	7.625116739
24	7.455424843
25	7.289913628
26	7.142348908
27	6.996530719
28	6.845510661
29	6.718791819
30	6.579618077
31	6.439741433
32	6.317079929
33	6.201564254
34	6.093862521
35	5.987332846
36	5.888403739
37	5.797406178
38	5.701923234
39	5.604452831
40	5.521296936
41	5.445484242
42	5.369091015
43	5.299162689
44	5.228313915
45	5.156827111
46	5.094590876
47	5.034663037
48	4.982932255
49	4.929689179
50	4.876851438
51	4.828806178
52	4.782030797
53	4.741192608
54	4.696980832
55	4.656117876
56	4.615376235
57	4.576736704
58	4.53734917
59	4.503059566
60	4.469617003
61	4.435655193
62	4.408696544
63	4.385343106
64	4.358655451
65	4.331119562
66	4.303712939
67	4.277411067
68	4.254378785
69	4.231637766
70	4.212994873
71	4.194136726
72	4.176715681
73	4.157886298
74	4.14175226
75	4.123239675
76	4.111751436
77	4.095829524
78	4.081173072
79	4.06741114
80	4.053686326
81	4.042327743
82	4.028843003
83	4.019620296
84	4.005815801
85	3.99343517
86	3.980726503
87	3.968785486
88	3.960039889
89	3.952990552
90	3.941768911
91	3.92971354
92	3.918396521
93	3.908793932
94	3.901739366
95	3.894006257
96	3.886407393
97	3.877887598
98	3.870888062
99	3.862932727
100	3.855871118
101	3.851677483
102	3.842637569
103	3.835113912
104	3.82772503
105	3.821024568
106	3.813987306
107	3.808017042
108	3.801465733
109	3.792711056
110	3.786172988
111	3.779130699
112	3.772967708
113	3.767909213
114	3.761370297
115	3.756970819
116	3.749285837
117	3.74264522
118	3.737984141
119	3.733336531
120	3.726037388
121	3.720055176
122	3.713407191
123	3.708230533
124	3.704308937
125	3.69950219
126	3.697297678
127	3.69230997
128	3.684252265
129	3.68082446
130	3.676581379
131	3.671047466
132	3.66663627
133	3.663515065
134	3.65762874
135	3.655122599
136	3.652616164
137	3.648560137
138	3.642639511
139	3.639617306
140	3.637098912
141	3.634260656
142	3.630129022
143	3.626865469
144	3.621495778
145	3.616985962
146	3.614063413
147	3.611017078
148	3.607750229
149	3.605425136
150	3.601376223
151	3.59511025
152	3.592897956
153	3.591381821
154	3.587768411
155	3.585768379
156	3.582661431
