iter	Passed	Remaining
0	0	764
1	1	676
2	2	676
3	2	665
4	3	724
5	3	660
6	4	613
7	4	578
8	5	583
9	6	594
10	6	587
11	6	568
12	7	567
13	7	549
14	8	532
15	8	538
16	9	524
17	9	520
18	10	529
19	10	522
20	11	517
21	11	507
22	11	505
23	12	508
24	13	514
25	13	510
26	14	508
27	14	505
28	15	504
29	15	502
30	16	500
31	16	496
32	16	490
33	17	486
34	17	484
35	18	483
36	18	483
37	19	483
38	20	501
39	20	498
40	21	496
41	21	491
42	22	491
43	22	489
44	22	487
45	23	485
46	24	486
47	24	487
48	24	483
49	25	481
50	25	479
51	26	479
52	27	484
53	28	492
54	28	492
55	29	491
56	29	488
57	29	484
58	30	481
59	30	480
60	31	478
61	31	476
62	32	477
63	32	475
64	32	474
65	33	472
66	33	471
67	34	468
68	34	469
69	35	466
70	35	466
71	36	468
72	36	467
73	37	465
74	37	464
75	38	464
76	38	461
77	39	461
78	39	459
79	40	460
80	40	462
81	41	462
82	42	473
83	43	475
84	44	475
85	45	479
86	45	478
87	46	477
88	46	474
89	46	472
90	47	470
91	47	470
92	48	471
93	48	469
94	48	466
95	49	464
96	50	467
97	50	466
98	50	462
99	51	461
100	52	465
101	52	462
102	53	461
103	53	461
104	54	462
105	54	463
106	55	461
107	55	462
108	56	462
109	57	463
110	57	462
111	58	461
112	58	462
113	59	459
114	59	457
115	60	461
116	60	459
117	61	460
118	62	463
119	62	461
120	63	461
121	63	460
122	64	458
123	64	458
124	65	456
125	65	455
126	65	453
127	66	454
128	67	456
129	67	454
130	68	456
131	69	456
132	69	454
133	70	455
134	70	454
135	71	454
136	71	452
137	72	453
138	73	452
139	74	457
140	74	455
141	75	453
142	75	452
143	76	454
144	76	453
145	77	453
146	78	456
147	79	457
148	80	458
149	80	457
150	81	456
151	81	456
152	82	456
153	82	454
154	83	454
155	83	453
156	84	451
157	84	450
158	84	449
159	85	447
160	86	448
161	86	447
162	86	445
163	87	445
164	88	445
165	88	445
166	88	443
167	89	443
168	90	443
169	90	442
170	91	441
171	91	441
172	92	440
173	92	438
174	92	437
175	93	435
176	93	436
177	94	435
178	94	434
179	95	436
180	96	436
181	96	435
182	97	435
183	97	434
184	98	433
185	98	432
186	99	431
187	99	431
188	100	430
189	100	428
190	100	427
191	101	426
192	101	424
193	102	423
194	102	422
195	102	422
196	103	421
197	103	421
198	104	419
199	104	418
200	105	418
201	105	417
202	106	416
203	106	414
204	106	414
205	107	415
206	108	414
207	108	414
208	109	413
209	109	412
210	110	411
211	110	410
212	111	410
213	111	410
214	112	409
215	112	408
216	113	407
217	114	409
218	114	408
219	115	407
220	115	407
221	115	406
222	116	405
223	116	405
224	117	403
225	117	402
226	118	402
227	119	403
228	119	402
229	120	402
230	120	401
231	121	400
232	122	404
233	123	403
234	123	402
235	123	400
236	124	399
237	124	399
238	125	398
239	125	397
240	126	398
241	126	397
242	127	396
243	127	395
244	128	395
245	130	399
246	130	398
247	131	398
248	131	397
249	132	397
250	133	397
251	133	396
252	133	395
253	134	394
254	134	393
255	135	392
256	135	391
257	135	390
258	136	389
259	136	388
260	136	387
261	137	385
262	137	384
263	137	383
264	137	382
265	138	381
266	138	380
267	138	379
268	139	378
269	139	377
270	139	376
271	140	375
272	140	374
273	140	373
274	141	372
275	141	371
276	141	370
277	142	369
278	142	369
279	143	368
280	143	367
281	144	367
282	144	367
283	145	366
284	145	365
285	145	364
286	146	364
287	147	364
288	147	364
289	148	363
290	148	362
291	149	361
292	149	361
293	150	361
294	150	360
295	151	359
296	151	358
297	151	357
298	152	356
299	152	355
300	152	354
301	153	353
302	153	353
303	153	352
304	154	352
305	154	351
306	155	351
307	156	352
308	157	352
309	157	351
310	158	350
311	159	350
312	159	350
313	160	349
314	160	349
315	161	349
316	161	348
317	162	347
318	162	347
319	163	346
320	163	346
321	164	346
322	164	345
323	165	345
324	166	344
325	166	344
326	167	344
327	167	343
328	168	342
329	168	342
330	169	342
331	169	341
332	170	340
333	170	340
334	171	340
335	171	339
336	172	338
337	172	338
338	173	337
339	173	336
340	173	336
341	174	335
342	174	334
343	175	333
344	175	333
345	177	334
346	177	334
347	178	333
348	178	333
349	179	332
350	180	333
351	180	332
352	181	332
353	181	331
354	181	330
355	182	330
356	182	329
357	183	328
358	183	327
359	184	327
360	184	326
361	184	325
362	185	325
363	185	324
364	186	324
365	186	323
366	187	323
367	188	323
368	188	322
369	189	321
370	189	321
371	189	320
372	190	319
373	190	319
374	191	318
375	191	318
376	192	317
377	192	317
378	193	317
379	194	316
380	194	316
381	195	315
382	196	316
383	197	316
384	197	315
385	198	315
386	198	314
387	199	314
388	199	313
389	199	312
390	200	312
391	200	311
392	201	311
393	202	310
394	202	310
395	203	310
396	204	309
397	204	309
398	205	310
399	206	309
400	207	309
401	207	308
402	207	308
403	208	307
404	208	306
405	209	306
406	209	305
407	210	304
408	210	304
409	210	303
410	211	302
411	211	301
412	211	301
413	212	300
414	213	300
415	213	299
416	213	299
417	214	298
418	215	298
419	215	297
420	215	296
421	216	296
422	216	295
423	217	295
424	217	294
425	218	293
426	218	293
427	218	292
428	219	291
429	219	290
430	219	290
431	220	289
432	220	289
433	221	288
434	221	288
435	222	287
436	222	286
437	223	286
438	223	285
439	224	285
440	224	284
441	225	284
442	225	283
443	226	283
444	227	283
445	227	282
446	227	282
447	228	281
448	228	280
449	229	280
450	229	279
451	230	279
452	231	279
453	231	278
454	231	277
455	232	277
456	232	276
457	233	276
458	233	275
459	234	274
460	234	274
461	235	274
462	235	273
463	236	273
464	236	272
465	237	271
466	237	271
467	238	270
468	238	270
469	239	269
470	239	269
471	240	268
472	240	268
473	241	267
474	241	267
475	242	266
476	242	266
477	243	265
478	243	264
479	244	264
480	244	263
481	245	263
482	245	262
483	246	262
484	246	261
485	246	261
486	247	260
487	248	260
488	248	259
489	249	259
490	249	258
491	249	258
492	250	257
493	250	257
494	251	256
495	251	255
496	252	255
497	252	254
498	253	254
499	253	253
500	254	253
501	254	252
502	255	252
503	255	251
504	256	251
505	256	250
506	257	249
507	257	249
508	257	248
509	258	248
510	259	247
511	259	247
512	260	246
513	260	246
514	260	245
515	261	244
516	261	244
517	262	243
518	262	243
519	263	243
520	263	242
521	264	241
522	264	241
523	265	240
524	265	240
525	265	239
526	266	239
527	266	238
528	267	238
529	267	237
530	268	236
531	268	236
532	269	235
533	269	235
534	270	234
535	271	234
536	271	234
537	271	233
538	272	232
539	272	232
540	273	231
541	273	231
542	274	230
543	274	230
544	275	229
545	275	229
546	276	228
547	276	228
548	277	227
549	277	227
550	278	226
551	278	226
552	279	225
553	279	225
554	279	224
555	280	224
556	281	223
557	282	223
558	282	222
559	282	222
560	283	221
561	283	221
562	284	220
563	284	220
564	285	219
565	286	219
566	286	218
567	287	218
568	287	217
569	287	217
570	288	216
571	288	216
572	289	215
573	289	215
574	290	214
575	290	214
576	291	213
577	291	213
578	292	212
579	292	212
580	293	211
581	293	211
582	294	210
583	294	210
584	295	209
585	295	208
586	296	208
587	297	208
588	297	207
589	298	207
590	298	206
591	299	206
592	299	205
593	300	205
594	300	204
595	301	204
596	302	204
597	302	203
598	303	203
599	303	202
600	304	202
601	304	201
602	305	200
603	305	200
604	306	199
605	306	199
606	306	198
607	307	198
608	308	197
609	308	197
610	309	196
611	309	196
612	310	195
613	310	195
614	310	194
615	311	194
616	311	193
617	312	193
618	312	192
619	313	191
620	313	191
621	314	190
622	314	190
623	315	190
624	315	189
625	316	189
626	316	188
627	317	187
628	317	187
629	318	186
630	318	186
631	319	185
632	319	185
633	320	184
634	320	184
635	321	183
636	321	183
637	322	182
638	322	182
639	323	181
640	323	181
641	324	180
642	324	180
643	325	179
644	325	179
645	326	178
646	326	178
647	327	177
648	327	177
649	328	176
650	328	176
651	329	175
652	329	175
653	330	174
654	330	174
655	331	173
656	331	173
657	332	172
658	332	172
659	333	171
660	334	171
661	334	170
662	335	170
663	335	169
664	336	169
665	336	168
666	337	168
667	337	167
668	337	167
669	338	166
670	338	166
671	339	165
672	339	165
673	340	164
674	340	164
675	341	163
676	341	162
677	342	162
678	342	161
679	343	161
680	343	161
681	344	160
682	344	159
683	345	159
684	345	158
685	345	158
686	346	157
687	346	157
688	347	156
689	347	156
690	348	155
691	348	155
692	349	154
693	349	154
694	350	153
695	350	153
696	351	152
697	351	152
698	351	151
699	352	151
700	352	150
701	353	149
702	353	149
703	354	148
704	354	148
705	355	147
706	355	147
707	356	147
708	356	146
709	357	145
710	358	145
711	358	145
712	359	144
713	359	143
714	359	143
715	360	142
716	360	142
717	361	141
718	361	141
719	362	140
720	362	140
721	363	139
722	363	139
723	364	138
724	364	138
725	365	137
726	365	137
727	366	136
728	366	136
729	367	135
730	368	135
731	368	134
732	369	134
733	369	133
734	369	133
735	371	133
736	372	132
737	372	132
738	373	131
739	373	131
740	374	130
741	374	130
742	375	129
743	376	129
744	376	128
745	377	128
746	377	127
747	378	127
748	378	126
749	379	126
750	379	125
751	380	125
752	380	124
753	381	124
754	382	123
755	382	123
756	382	122
757	383	122
758	383	121
759	384	121
760	384	120
761	385	120
762	385	119
763	386	119
764	386	118
765	387	118
766	387	117
767	388	117
768	389	116
769	389	116
770	390	115
771	391	115
772	391	115
773	392	114
774	392	114
775	393	113
776	393	112
777	394	112
778	394	111
779	394	111
780	395	110
781	396	110
782	397	110
783	397	109
784	398	109
785	398	108
786	399	108
787	399	107
788	400	107
789	400	106
790	401	106
791	401	105
792	402	104
793	402	104
794	403	103
795	403	103
796	404	102
797	404	102
798	405	101
799	405	101
800	406	100
801	406	100
802	407	99
803	407	99
804	408	98
805	408	98
806	409	97
807	409	97
808	409	96
809	410	96
810	410	95
811	411	95
812	411	94
813	412	94
814	412	93
815	413	93
816	413	92
817	414	92
818	414	91
819	415	91
820	415	90
821	416	90
822	416	89
823	417	89
824	417	88
825	418	88
826	418	87
827	418	87
828	419	86
829	420	86
830	420	85
831	421	85
832	421	84
833	422	84
834	423	83
835	423	83
836	423	82
837	424	82
838	424	81
839	425	81
840	425	80
841	426	80
842	427	79
843	427	79
844	427	78
845	428	78
846	429	77
847	429	76
848	430	76
849	430	75
850	431	75
851	431	74
852	432	74
853	432	73
854	433	73
855	433	72
856	433	72
857	434	71
858	434	71
859	435	70
860	435	70
861	436	69
862	437	69
863	437	68
864	437	68
865	438	67
866	438	67
867	439	66
868	439	66
869	440	65
870	440	65
871	440	64
872	441	64
873	442	63
874	442	63
875	443	62
876	443	62
877	444	61
878	444	61
879	445	60
880	445	60
881	445	59
882	447	59
883	447	58
884	447	58
885	448	57
886	448	57
887	449	56
888	449	56
889	450	55
890	450	55
891	451	54
892	451	54
